delta,sigma,J,m,lambda_min_dQ,lambda_min_Q,lambda_min_base,tr_Mzeros
0.0001,4.0,12,5,-9.32444389031591e-10,-1.5704938275046199,-1.5704938277580276,4.274506274392844
0.001,4.0,12,5,-9.32444431577435e-08,-1.5704938024174018,-1.5704938277580276,4.274506315733552
0.01,4.0,12,5,-9.324571890609875e-06,-1.5704912936349444,-1.5704938277580276,4.274510449894527
0.1,4.0,12,5,-0.0009337342470631185,-1.570239809741727,-1.5704938277580276,4.274924769989986
1e-05,4.0,12,20,-6.938791859222728e-11,-1.1910315175660944,-1.1910315176054609,7.453839114881715
0.0001,4.0,12,20,-6.938797466353812e-09,-1.191031513668801,-1.1910315176054609,7.453839114403691
0.001,4.0,12,20,-6.938799458916753e-07,-1.191031123939492,-1.1910315176054609,7.453839066601322
0.01,4.0,12,20,-6.938989331617573e-05,-1.1909921507850927,-1.1910315176054609,7.453834286234183
0.1,4.0,12,20,-0.006958000745136189,-1.1870928276146253,-1.1910315176054609,7.453354944805978
1e-05,4.0,16,1,0.0,-1.7472923338681352,-1.7472923338681352,5.013731062701371
0.0001,4.0,16,1,-5.878725253121983e-17,-1.7472923338681356,-1.7472923338681352,5.013731062701371
0.001,4.0,16,1,-1.1187486214007398e-15,-1.7472923338681343,-1.7472923338681352,5.013731062701371
0.01,4.0,16,1,-1.1178782539399187e-13,-1.7472923338681368,-1.7472923338681352,5.013731062701259
