function,peak_idx,pc1_instantaneous,H_instantaneous
F4,22,0.9646168337871006,0.15298319123980755
F4,23,0.9824411252679967,0.088380216650969
F4,24,0.9814668457960152,0.09227415938976216
F4,25,0.9699403910839643,0.13494931364191026
F4,26,0.9767493293265836,0.11043382220860723
F4,27,0.9849301867652788,0.0781744845899395
F4,28,0.9834284032559779,0.08437814828410477
F4,29,0.9840035956174717,0.08201916583423748
F4,30,0.981946002494642,0.09036578801876316
F4,31,0.9222323478543484,0.2732830575147262
F4,32,0.9906401774304525,0.053038692212310015
F4,33,0.9916595203210983,0.04822842895869097
F4,34,0.9727371281309484,0.12509493721989412
F4,35,0.9182378569466662,0.2830521817396239
F4,36,0.8888746583868506,0.3488616863149777
F4,37,0.9301041408637631,0.25336948352349925
F4,38,0.9634061823505395,0.15696375396701598
F4,39,0.9502444609979176,0.19779481281603165
F4,40,0.9005058036201484,0.3239701857920339
F4,41,0.9583666340952683,0.17310077851333827
F4,42,0.9521110366069878,0.1922518755694382
F4,43,0.980614208660441,0.09563900174844833
F4,44,0.9881529801775618,0.06432614137117902
F4,45,0.825660487038585,0.46270077802723425
F4,46,0.9799363830260016,0.09828659597466646
F4,47,0.9794516867919805,0.10016544790865224
F4,48,0.9764506949990047,0.11154813094215513
F4,49,0.9513331542543026,0.19457098390648028
F4,50,0.9755849812450967,0.11475666075406749
F4,51,0.887291933432904,0.35214001436246734
F4,52,0.9850679505904616,0.07759800746580163
F4,53,0.9857236400855106,0.0748363627203088
F4,54,0.9779105269566446,0.10606320445577509
F4,55,0.996168995837357,0.025141770760328815
F4,56,0.9783074066837729,0.10455523704784447
F4,57,0.9845936498302823,0.07957738004742514
F4,58,0.8880683219778561,0.35053501534705744
F4,59,0.9417379318846654,0.22215851927422262
F4,60,0.9689695002130964,0.1383062399694311
F4,61,0.9787496662404515,0.10286609617521135
F4,62,0.9686459627005697,0.13941788263483282
F4,63,0.9818152757931566,0.09088771318394455
