Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp
"L(s,χ₄) mod5",42,7610.0,12.132463566179194,1.2774655622499966,0.019689020894502064
"L(s,χ₄) mod5",43,5162.0,12.011902640758287,1.629552186951775,0.0133616869235817
"L(s,χ₄) mod5",44,9359.0,11.899248081743933,1.253769331336737,0.013660151014666302
"L(s,χ₄) mod5",45,2851.0,11.866463253980282,1.4559807380862722,0.003645308786140341
"L(s,χ₄) mod5",46,8770.0,11.802958793580293,1.5227829837496039,0.008540314832289465
"L(s,χ₄) mod5",47,8045.0,11.7521953265688,1.5060500890416257,0.018047067222273477
"L(s,χ₄) mod5",48,5207.0,11.69305079026469,2.016540705669162,0.01630464630584921
"L(s,χ₄) mod5",49,9233.0,11.668616668896581,1.713619068995703,0.02359366640499599
f_rand,0,2207.0,21.12694662150313,1.4873806103847709,0.06549120358251452
f_rand,1,8716.0,18.94976478530507,2.079120424186545,0.04667176136627242
f_rand,2,3512.0,18.38329092488852,2.020781157576989,0.04502198444364474
f_rand,3,9992.0,17.298589232696386,1.980262073472888,0.041413737635879404
f_rand,4,7393.0,16.64493195459158,1.9561292101475758,0.04086717971249466
f_rand,5,9985.0,16.6114734662646,2.009769727802231,0.03765649135325627
f_rand,6,7131.0,16.28760562980991,1.9064014733680457,0.03743168168786544
f_rand,7,1681.0,16.231648842258057,1.9370540342617089,0.0370986232950031
f_rand,8,9369.0,16.094934406201467,1.7717679255420986,0.038272790589561324
f_rand,9,1962.0,15.850697684147757,1.9132653800275532,0.0371449436423068
f_rand,10,2797.0,15.427146285908636,1.928400542298623,0.03768993481652907
f_rand,11,9730.0,15.325807834160422,2.01834390897073,0.03523625420399835
f_rand,12,6033.0,14.666604170304295,1.621626603476969,0.03705865066354017
f_rand,13,7412.0,14.376223438774312,1.620992347842135,0.03775771670698952
f_rand,14,9757.0,14.347165880754222,2.049931883438219,0.03199247171221044
f_rand,15,5381.0,14.177321051969813,1.8654261182610619,0.03213287994522868
f_rand,16,6085.0,14.103760749550549,2.062375320514465,0.031896039728540784
f_rand,17,4674.0,13.984565724962954,1.9193500290602203,0.034042466105269
f_rand,18,7521.0,13.829383852004032,1.9869801870684443,0.032919017403070225
f_rand,19,3185.0,13.566931589713406,2.014655002806086,0.030903228538607806
f_rand,20,5924.0,13.256054656539527,1.9167120726971039,0.02769332282450783
f_rand,21,1139.0,13.241867354705889,1.0582719183504234,0.042682605651528746
f_rand,22,4128.0,13.094782849962911,1.6168701535076702,0.03364045730758756
f_rand,23,5978.0,12.798191594554627,1.944343798454936,0.02692230017480695
f_rand,24,5245.0,12.68205923860068,1.9663061510356477,0.02839588134933213
f_rand,25,9395.0,12.595026152061594,2.063070551292073,0.028203957855770352
f_rand,26,3305.0,12.585245256496114,1.923251371204909,0.03396783440572979
f_rand,27,1516.0,12.502277465696876,1.8695361614656187,0.03070470767717186
f_rand,28,5823.0,12.483808185848499,2.0696527803640423,0.030336806651238626
f_rand,29,3667.0,12.441906284990257,2.0173931971891106,0.026270484860829404
f_rand,30,1700.0,12.432762263008206,1.8132773476438278,0.030069802768985555
f_rand,31,1955.0,12.35240272948611,2.062257972059859,0.02670370561222293
f_rand,32,8814.0,12.350773080135077,2.075583188148482,0.026346056911028964
f_rand,33,8271.0,12.346256333059827,1.9511286160735537,0.02601526227866574
f_rand,34,7040.0,12.18027564875033,1.893854578235215,0.027534851607797048
f_rand,35,3902.0,12.159412715164395,2.1140360524429864,0.027446315472094446
f_rand,36,7212.0,12.026677692514658,1.9207588532233861,0.026938869597779743
f_rand,37,9333.0,11.904634247684806,1.9810619927541102,0.028502142277990927
f_rand,38,9785.0,11.901416089565764,1.7484957823447898,0.025802188222153046
f_rand,39,3476.0,11.886053976829256,2.0334072927337443,0.026974212843374458
f_rand,40,2352.0,11.763488123845699,1.82772956233757,0.023894494229214327
f_rand,41,3133.0,11.375623153390357,2.17685954166284,0.025299141897145574
f_rand,42,1099.0,11.316502421584023,1.8822046615607193,0.023419350807373025
f_rand,43,6279.0,11.296090465838661,2.085090136849711,0.02560446930732821
f_rand,44,2957.0,11.2714890176626,1.8433101146116362,0.026277022102025985
f_rand,45,2126.0,11.256156351676411,1.7501328248374113,0.026322278466400596
f_rand,46,8287.0,11.191197455503719,2.124099114994348,0.025063468754312018
f_rand,47,5788.0,11.076129297868732,1.848336733729178,0.023060911015878628
f_rand,48,2310.0,11.01470474971489,1.692682450309295,0.02807342454082747
f_rand,49,2043.0,10.984618946564293,1.993539173599423,0.02440982333021555
L_DH,0,9093.0,10.267795028893742,1.7236472956652178,0.02489364190516595
L_DH,1,6988.0,9.815480192850826,2.0792219147015425,0.021368234353762068
L_DH,2,9483.0,9.718482970506809,1.9642738028051494,0.021613051873450126
L_DH,3,5793.0,9.530773387586054,1.996635069306496,0.02051283669303627
L_DH,4,6126.0,9.477792512202734,2.121865246777471,0.020764823297401695
L_DH,5,8214.0,9.466291496270669,2.0075954376670033,0.02196660025355741
L_DH,6,6852.0,9.339194816442596,2.1501564051810864,0.018665616923710243
L_DH,7,6891.0,9.318383036844436,1.6718053196926441,0.022938536821250907
L_DH,8,5531.0,9.315242245992879,2.203577077180138,0.019182956612149655
L_DH,9,9671.0,9.250689782949168,2.22796744070687,0.01870161283011046
