kind,x,y
A1_visible_n150,2.38054924366,-2.68168041472
A1_visible_n150,2.41804706729,-2.52585134089
A1_visible_n150,2.45554489091,-2.4208338945
A1_visible_n150,2.49304271454,-2.2827525322
A1_visible_n150,2.53054053816,-2.1267645015
A1_visible_n150,2.56803836179,-1.98389556654
A1_visible_n150,2.60553618541,-1.96436767962
A1_visible_n150,2.64303400904,-1.94424922417
A1_visible_n150,2.68053183266,-1.9441621445
A1_visible_n150,2.71802965628,-1.98276948111
A1_visible_n150,2.75552747991,-2.07399548271
A1_visible_n150,2.79302530353,-2.20712225776
A1_visible_n150,2.83052312716,-2.37909771624
A1_visible_n150,2.86802095078,-2.44651492282
A1_visible_n150,2.90551877441,-2.53812063533
A1_visible_n150,2.94301659803,-2.65702038062
A1_visible_n150,2.98051442166,-2.66293295412
A1_visible_n150,3.01801224528,-2.68878607277
A1_visible_n150,3.05551006891,-2.72074036806
A1_visible_n150,3.09300789253,-2.73922488569
A1_visible_n150,3.13050571615,-2.72512832792
A1_visible_n150,3.16800353978,-2.70612015669
A1_visible_n150,3.2055013634,-2.660781541
A1_visible_n150,3.24299918703,-2.60640086041
A1_visible_n150,3.28049701065,-2.53008578607
A1_visible_n150,3.31799483428,-2.43585236522
A1_visible_n150,3.3554926579,-2.32146064252
A1_visible_n150,3.39299048153,-2.25646839597
A1_visible_n150,3.43048830515,-2.20107604791
A1_visible_n150,3.46798612878,-2.20623506937
A1_visible_n150,3.5054839524,-2.20571794897
A1_visible_n150,3.54298177602,-2.19460027905
A1_visible_n150,3.58047959965,-2.19221318392
A1_visible_n150,3.61797742327,-2.2115780127
A1_visible_n150,3.6554752469,-2.23441322054
A1_visible_n150,3.69297307052,-2.29258842207
A1_visible_n150,3.73047089415,-2.35625501085
A1_visible_n150,3.76796871777,-2.40268460745
A1_visible_n150,3.8054665414,-2.41355247372
A1_visible_n150,3.84296436502,-2.46628882731
A1_visible_n150,3.88046218865,-2.48250104486
A1_visible_n150,3.91796001227,-2.49317534601
A1_visible_n150,3.95545783589,-2.52192125207
A1_visible_n150,3.99295565952,-2.53852418831
A1_visible_n150,4.03045348314,-2.55104347024
A1_visible_n150,4.06795130677,-2.560415967
A1_visible_n150,4.10544913039,-2.55500611112
A1_visible_n150,4.14294695402,-2.55077741959
A1_visible_n150,4.18044477764,-2.52894001584
A1_visible_n150,4.21794260127,-2.49431109012
A1_visible_n150,4.25544042489,-2.45399435388
A1_visible_n150,4.29293824851,-2.4304887968
A1_visible_n150,4.33043607214,-2.43930864275
A1_visible_n150,4.36793389576,-2.40141818393
A1_visible_n150,4.40543171939,-2.39059124993
A1_visible_n150,4.44292954301,-2.38839610563
A1_visible_n150,4.48042736664,-2.37077492685
A1_visible_n150,4.51792519026,-2.35803685234
A1_visible_n150,4.55542301389,-2.33763272185
A1_visible_n150,4.59292083751,-2.32386295118
A1_visible_n150,4.63041866114,-2.32538892688
A1_visible_n150,4.66791648476,-2.3313032898
A1_visible_n150,4.70541430838,-2.32661759792
A1_visible_n150,4.74291213201,-2.31070635721
