function,function_label,t_value,magnitude,M,R_comp
f_rand,$f_{\mathrm{rand}}$ (Random mult.),3700.0,20.9763938805289,0.5280828648068946,0.013827268907350596
f_rand,$f_{\mathrm{rand}}$ (Random mult.),5702.0,20.22541263844405,0.5397024547653414,0.007293000643736876
f_rand,$f_{\mathrm{rand}}$ (Random mult.),2631.0,20.129210588000213,0.6016510305873936,0.0031713868531000784
f_rand,$f_{\mathrm{rand}}$ (Random mult.),2362.0,19.66305105986934,0.7704731775793893,0.021948947348821916
f_rand,$f_{\mathrm{rand}}$ (Random mult.),1470.0,19.02713014819737,0.6679141014906333,0.014242664017213191
f_rand,$f_{\mathrm{rand}}$ (Random mult.),6651.0,18.86136009377603,0.5945785110597249,0.018614007561937835
f_rand,$f_{\mathrm{rand}}$ (Random mult.),4735.0,18.710093710523157,0.4894705988264312,0.013978941620930808
f_rand,$f_{\mathrm{rand}}$ (Random mult.),9402.0,18.691365396854287,0.5433317382690234,0.011937311901965295
f_rand,$f_{\mathrm{rand}}$ (Random mult.),2298.0,18.416318582802305,0.511165544189835,0.03187365933294365
f_rand,$f_{\mathrm{rand}}$ (Random mult.),6514.0,17.789342884101053,0.5085400191890584,0.017877847587830384
f_rand,$f_{\mathrm{rand}}$ (Random mult.),5930.0,17.621104594038943,0.5338161356736139,0.023997071253820418
f_rand,$f_{\mathrm{rand}}$ (Random mult.),4890.0,17.421738993455904,0.5106208630580363,0.020590819847182914
f_rand,$f_{\mathrm{rand}}$ (Random mult.),2705.0,17.270623124621267,0.6007728897572515,0.013755070653248087
f_rand,$f_{\mathrm{rand}}$ (Random mult.),3935.0,17.15179847777038,0.6120288764956234,0.009790454431224708
f_rand,$f_{\mathrm{rand}}$ (Random mult.),3037.0,16.774064448951854,0.5477500066611215,0.005746136853528484
f_rand,$f_{\mathrm{rand}}$ (Random mult.),4536.0,16.53471734413549,0.680660140116627,0.02090983889545987
f_rand,$f_{\mathrm{rand}}$ (Random mult.),4832.0,16.183418506112215,0.8485138889586209,0.010542022115407156
f_rand,$f_{\mathrm{rand}}$ (Random mult.),9111.0,16.12821691164977,0.47375289693517536,0.005115517940464808
