n,a_n_real,a_n_imag,a_n_magnitude,omega_n,is_squarefree
612,0.0,0.0,0.0,0,False
613,-0.1986028939392892,0.0,0.1986028939392892,1,True
614,-1.0,0.0,1.0,2,True
615,0.0,0.0,0.0,0,True
616,0.0,0.0,0.0,0,False
617,0.1986028939392892,0.0,0.1986028939392892,1,True
618,-0.1986028939392892,0.0,0.1986028939392892,3,True
619,-1.0,0.0,1.0,1,True
620,0.0,0.0,0.0,0,False
621,0.0,0.0,0.0,0,False
622,0.1986028939392892,0.0,0.1986028939392892,2,True
623,-0.1986028939392892,0.0,0.1986028939392892,2,True
624,0.0,0.0,0.0,0,False
625,0.0,0.0,0.0,0,False
626,1.0,0.0,1.0,2,True
627,0.1986028939392892,0.0,0.1986028939392892,3,True
628,0.0,0.0,0.0,0,False
629,-1.0,0.0,1.0,2,True
630,0.0,0.0,0.0,0,False
631,1.0,0.0,1.0,1,True
632,0.0,0.0,0.0,0,False
633,-0.1986028939392892,0.0,0.1986028939392892,2,True
634,-1.0,0.0,1.0,2,True
635,0.0,0.0,0.0,0,True
636,0.0,0.0,0.0,0,False
637,0.0,0.0,0.0,0,False
638,-0.1986028939392892,0.0,0.1986028939392892,3,True
639,0.0,0.0,0.0,0,False
640,0.0,0.0,0.0,0,False
641,1.0,0.0,1.0,1,True
642,0.1986028939392892,0.0,0.1986028939392892,3,True
643,-0.1986028939392892,0.0,0.1986028939392892,1,True
644,0.0,0.0,0.0,0,False
645,0.0,0.0,0.0,0,True
646,1.0,0.0,1.0,3,True
647,0.1986028939392892,0.0,0.1986028939392892,1,True
648,0.0,0.0,0.0,0,False
649,-1.0,0.0,1.0,2,True
650,0.0,0.0,0.0,0,False
651,1.0,0.0,1.0,3,True
652,0.0,0.0,0.0,0,False
653,-0.1986028939392892,0.0,0.1986028939392892,1,True
654,-1.0,0.0,1.0,3,True
655,0.0,0.0,0.0,0,True
656,0.0,0.0,0.0,0,False
657,0.0,0.0,0.0,0,False
658,-0.1986028939392892,0.0,0.1986028939392892,3,True
659,-1.0,0.0,1.0,1,True
660,0.0,0.0,0.0,0,False
661,1.0,0.0,1.0,1,True
662,0.1986028939392892,0.0,0.1986028939392892,2,True
