function,t_value,magnitude,M_coh,R_comp
L_DH,4870.5,15.250824803392447,1.915036657927879,0.019115641155666652
L_DH,8399.5,15.187361703523134,1.9487532614776488,0.019569357843962517
L_DH,5425.0,15.151720268017542,1.8809811321126555,0.01702465963046986
L_DH,6505.5,15.1324476628524,1.8459428277906338,0.017591651156721858
L_DH,8816.5,15.122450975236616,1.9028201214847615,0.017416182503409434
L_DH,9359.0,15.051568259155346,1.9849233541720899,0.015661321917287828
L_DH,7393.0,15.041405114047029,1.7413058514045965,0.017464382335298855
L_DH,7173.5,14.95438702068244,2.075927268965842,0.015496850963737159
L_DH,9856.0,14.815366165253307,1.5523614993114885,0.019073956107031
L_DH,9004.0,14.765400505749755,1.6010521170986909,0.018965591202782787
L_DH,9793.5,14.720164783404579,1.6470608402097493,0.018813935815138128
L_DH,6169.5,14.681179471033488,1.7477080485469154,0.020020653765212042
L_DH,9106.5,14.535759779272958,1.751242926876137,0.015761619058228246
L_DH,9023.0,14.50919016745403,2.0291130080062696,0.01786710020451081
L_DH,6494.5,14.442357214385718,1.9911021226117611,0.02145105239948419
L_DH,3531.0,14.366778982155573,2.026059369097808,0.010619791087405942
L_DH,2988.5,14.314946008772509,2.008167975366265,0.022552514213554236
L_DH,5299.5,14.294508230648722,2.0757559393188743,0.01260472107810244
L_DH,1283.0,14.272789231067053,1.964512877860046,0.018026619594166605
L_DH,6649.5,14.171881752050218,2.0018363382587254,0.016252175689864836
L_DH,5569.0,14.055840241320988,1.9260019175004144,0.020167668397651696
L_DH,5397.0,14.041020300544641,1.9881058554907618,0.01598957282088314
L_DH,8415.5,14.00152833568966,2.009570332769569,0.015853404539581083
L_DH,3594.5,13.99254516318476,1.8326076708840149,0.017996671285893915
L_DH,6049.0,13.98996849743946,1.994351518163659,0.016440347498509048
L_DH,7002.5,13.857193432100456,1.9796100298770491,0.008723019405729638
L_DH,8645.5,13.856238998647367,2.1717986256850597,0.01101630286614536
L_DH,1735.5,13.69070966380738,2.0454741457515926,0.008896072463483813
L_DH,9812.0,13.66524869168974,1.9828036991857534,0.01711549276738782
