function_class,peak_t,N,D_magnitude,R_comp
L_DH,2798.248034363575,2000000,10.583204552363819,0.0003060595742512621
L_DH,2798.248034363575,5000000,10.583014705700402,0.0001543508265307102
L_DH,2798.248034363575,10000000,10.58339044615738,0.00010595855311471628
L_DH,2146.0761372271645,10000,10.48235363991301,0.007405795564595548
L_DH,2146.0761372271645,20000,10.487612532656176,0.0036893481347364965
L_DH,2146.0761372271645,50000,10.489180019699626,0.0037810460630411874
L_DH,2146.0761372271645,100000,10.492403924986546,0.0017896770983413502
L_DH,2146.0761372271645,200000,10.490314943390663,0.0005088620767685013
L_DH,2146.0761372271645,500000,10.489941055384554,0.0002594763162520951
L_DH,2146.0761372271645,1000000,10.489130886319085,0.00019447661066276768
L_DH,2146.0761372271645,2000000,10.489922941810882,0.00014060856203633118
L_DH,2146.0761372271645,5000000,10.48999958478565,8.17414259733219e-05
L_DH,2146.0761372271645,10000000,10.490179225791584,0.00015914184395952156
L_DH,2331.631321349658,10000,10.017312847006368,0.01485229085836132
L_DH,2331.631321349658,20000,10.019032416731159,0.014991199625527888
L_DH,2331.631321349658,50000,10.02112684234591,0.008318581550600328
L_DH,2331.631321349658,100000,10.02506609663226,0.0045814048921385565
L_DH,2331.631321349658,200000,10.025154265311008,0.0019282570771135697
L_DH,2331.631321349658,500000,10.02446555834234,0.00032965112797542256
L_DH,2331.631321349658,1000000,10.02320775883596,0.000322923116113631
L_DH,2331.631321349658,2000000,10.023001390733647,9.532341022815809e-05
L_DH,2331.631321349658,5000000,10.023222716933285,0.000266705450315371
L_DH,2331.631321349658,10000000,10.023608504265319,0.00017319053796925463
L_DH,4053.4742798980883,10000,9.975961650503955,0.005126614817787404
L_DH,4053.4742798980883,20000,9.974706294157636,0.006955373350009615
L_DH,4053.4742798980883,50000,9.978101635985045,0.0044800155844629316
L_DH,4053.4742798980883,100000,9.981349111542913,0.004228325586952144
L_DH,4053.4742798980883,200000,9.9823020397034,0.0030117560610935443
L_DH,4053.4742798980883,500000,9.981458955263435,0.0010009480426030283
L_DH,4053.4742798980883,1000000,9.98044222777542,0.0005488312947660651
L_DH,4053.4742798980883,2000000,9.980014265738065,0.00024180935492414867
L_DH,4053.4742798980883,5000000,9.980213503934262,0.00019237533986250232
L_DH,4053.4742798980883,10000000,9.980519948958376,0.00016618927394159447
L_DH,4593.767316019466,10000,9.379189901964994,0.008577543328060136
L_DH,4593.767316019466,20000,9.389435807256124,0.0007672094179816157
L_DH,4593.767316019466,50000,9.389356073945589,0.0029848316881209446
L_DH,4593.767316019466,100000,9.3876266036622,0.002031194746744506
L_DH,4593.767316019466,200000,9.38487006995811,0.0012394594336643412
L_DH,4593.767316019466,500000,9.385056124050346,0.0010424401451626574
L_DH,4593.767316019466,1000000,9.38582004957982,0.0007697175821747569
