function,T0,sigma,J,X,lambda_min,trace_M_zeros,trace_M_arith,trace_residual,trace_residual_rel,abs_lambda_min,lambda_over_tr,reliable,rho_RvM,tr_over_J,H1_rel_err,source,tr_Mz,tr_Ma,n_zeros_used
zeta,30.0,1.0,16,1000000000,-3.312915400093463e-13,,,-4.3076653355456084e-13,,3.312915400093463e-13,,,,,,r14_sigma1_X1e9,4.212458846093398,4.212458846093829,
Lchi,30.0,1.0,16,1000000000,-0.0001868264755163,,,-0.0021813587862808,,0.0001868264755163,,,,,,r14_sigma1_X1e9,15.717531860190633,15.719713218976914,
zeta,30.0,1.0,20,1000000000,-5.507209212215405e-13,,,-3.428368700042484e-13,,5.507209212215405e-13,,,,,,r14_sigma1_X1e9,4.9769263852204375,4.97692638522078,
Lchi,30.0,1.0,20,1000000000,-0.000197609513209,,,-0.002745655217037,,0.000197609513209,,,,,,r14_sigma1_X1e9,20.360028701218557,20.36277435643559,
zeta,30.0,1.0,24,1000000000,-8.332092622478872e-13,,,-3.428368700042484e-13,,8.332092622478872e-13,,,,,,r14_sigma1_X1e9,5.669894209372087,5.66989420937243,
Lchi,30.0,1.0,24,1000000000,-0.0002081259867739,,,-0.0033178897124628,,0.0002081259867739,,,,,,r14_sigma1_X1e9,23.862474534330183,23.865792424042645,
zeta,30.0,1.0,28,1000000000,-3.3102433315845016e-12,,,5.423217430688965e-12,,3.3102433315845016e-12,,,,,,r14_sigma1_X1e9,6.376745352483299,6.376745352477876,
Lchi,30.0,1.0,28,1000000000,-0.0002185144841928,,,-0.0038982502672872,,0.0002185144841928,,,,,,r14_sigma1_X1e9,27.700385751541667,27.704284001808954,
zeta,46.13,1.0,4,1000000000,-3.4699930063545105e-15,,,3.1086244689504387e-15,,3.4699930063545105e-15,,,,,,r14_sigma1_X1e9,0.8816212629000668,0.8816212629000637,
Lchi,46.13,1.0,4,1000000000,-6.03907527001592e-05,,,-0.0002250496494236,,6.03907527001592e-05,,,,,,r14_sigma1_X1e9,4.265676674363842,4.265901724013266,
zeta,46.13,1.0,8,1000000000,-3.413453564759563e-14,,,-8.881784197001252e-16,,3.413453564759563e-14,,,,,,r14_sigma1_X1e9,2.4626898474102754,2.4626898474102763,
Lchi,46.13,1.0,8,1000000000,-6.402519015997049e-05,,,-0.0004513773302026,,6.402519015997049e-05,,,,,,r14_sigma1_X1e9,9.547773331977224,9.548224709307426,
zeta,46.13,1.0,12,1000000000,-5.6116229756874055e-14,,,-8.881784197001252e-15,,5.6116229756874055e-14,,,,,,r14_sigma1_X1e9,3.6906769053295663,3.690676905329575,
Lchi,46.13,1.0,12,1000000000,-6.696798310326424e-05,,,-0.0006789951875738,,6.696798310326424e-05,,,,,,r14_sigma1_X1e9,13.54318943222916,13.543868427416731,
zeta,46.13,1.0,16,1000000000,-2.558456577555341e-13,,,9.14823772291129e-14,,2.558456577555341e-13,,,,,,r14_sigma1_X1e9,5.222536991987338,5.222536991987247,
Lchi,46.13,1.0,16,1000000000,-6.9577387431442e-05,,,-0.0009079155290692,,6.9577387431442e-05,,,,,,r14_sigma1_X1e9,18.19140305620808,18.19231097173715,
zeta,46.13,1.0,20,1000000000,-5.942340278855938e-13,,,-3.348432642269472e-13,,5.942340278855938e-13,,,,,,r14_sigma1_X1e9,6.488014882033138,6.488014882033473,
Lchi,46.13,1.0,20,1000000000,-7.198641503945431e-05,,,-0.0011381508272023,,7.198641503945431e-05,,,,,,r14_sigma1_X1e9,23.63251183025863,23.63364998108583,
