Function,Peak_Index,t_value,Peak_Magnitude,M_coh,R_comp,CAS,Class
"L(s,χ_4) mod4",46,1335.0,8.012026576360666,1.8533087484440025,0.0064072025726868,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",47,9343.0,7.986024093113697,2.039410581860933,0.0275284810913695,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",48,2834.0,7.963317959663574,2.0026353416777503,0.0116833476927879,4.698965661369485,Multiplicative
"L(s,χ_4) mod4",49,4990.0,7.958758955250491,2.0443296180612704,0.0179730554792223,4.698965661369485,Multiplicative
L_DH_validated,0,5361.638327961575,39.86545048974254,8.321244163001706,0.6855752912899998,1.0472593456305854,Non-Multiplicative
L_DH_validated,1,6740.204195883364,37.641824633764365,8.222967467324402,0.6694771680066881,1.0472593456305854,Non-Multiplicative
L_DH_validated,2,4990.527959716596,37.26230482408702,7.321295497481131,0.5307066114993809,1.0472593456305854,Non-Multiplicative
L_DH_validated,3,6494.6164521918345,36.11642303910998,7.770277783732771,0.5977942261026838,1.0472593456305854,Non-Multiplicative
L_DH_validated,4,1735.671729991517,33.776524974311265,7.780851949474425,0.5994223471251481,1.0472593456305854,Non-Multiplicative
L_DH_validated,5,2742.0357285852538,33.05740987910305,7.903799666404503,0.6185153382837222,1.0472593456305854,Non-Multiplicative
L_DH_validated,6,1082.9540823135835,31.118323363653676,6.971083773483574,0.48114860373194046,1.0472593456305854,Non-Multiplicative
L_DH_validated,7,1610.149105438068,27.55231961587969,6.944000157803197,0.47741720981753294,1.0472593456305854,Non-Multiplicative
L_DH_validated,8,5424.945390779836,26.912764836190178,7.082506624806634,0.4966524761428699,1.0472593456305854,Non-Multiplicative
L_DH_validated,9,9559.55149346213,26.86333154762346,6.014105893657346,0.3581135613873666,1.0472593456305854,Non-Multiplicative
L_DH_validated,10,3531.1910116473705,26.801350321881173,6.387731446823212,0.40399121818548683,1.0472593456305854,Non-Multiplicative
L_DH_validated,11,8180.985625540341,25.893116112407533,6.301620921564491,0.39317253702078514,1.0472593456305854,Non-Multiplicative
L_DH_validated,12,1890.6648837879493,25.721115382073226,6.579853544170521,0.4286581451755779,1.0472593456305854,Non-Multiplicative
L_DH_validated,13,7220.46467243569,25.61514898589206,6.981346154674666,0.48256627852862133,1.0472593456305854,Non-Multiplicative
L_DH_validated,14,8090.391035645243,24.26309556656334,6.432656326960662,0.40969373683947546,1.0472593456305854,Non-Multiplicative
L_DH_validated,15,3594.498074465632,23.101841825032817,5.420102440209654,0.290866440221452,1.0472593456305854,Non-Multiplicative
L_DH_validated,16,7563.196012520759,22.861465186968285,6.22828166643438,0.3840741833311151,1.0472593456305854,Non-Multiplicative
L_DH_validated,17,3902.3013798923494,21.251900356261245,5.863969903105779,0.34045686162901384,1.0472593456305854,Non-Multiplicative
L_DH_validated,18,6294.87175398939,21.146994935499556,5.1181920741687135,0.2593652485948855,1.0472593456305854,Non-Multiplicative
L_DH_validated,19,8878.454817624286,20.47777749787425,5.6364633945840765,0.3145516791929332,1.0472593456305854,Non-Multiplicative
L_DH_validated,20,7935.397881848811,20.319368248312625,5.69445679065419,0.32105780337255074,1.0472593456305854,Non-Multiplicative
L_DH_validated,21,5978.336439898084,20.135733733245974,5.618757432657438,0.31257856521824956,1.0472593456305854,Non-Multiplicative
L_DH_validated,22,3285.6032679558402,20.107097544159114,5.514270652720628,0.30106119635104933,1.0472593456305854,Non-Multiplicative
L_DH_validated,23,4401.117374856924,19.887290413752538,6.071102802912184,0.36493355686661566,1.0472593456305854,Non-Multiplicative
L_DH_validated,24,7111.314564128344,19.34826382949918,4.902624463016905,0.23797749134031485,1.0472593456305854,Non-Multiplicative
L_DH_validated,25,8244.292688358602,19.280921402019572,4.957500793995846,0.2433347932917767,1.0472593456305854,Non-Multiplicative
L_DH_validated,26,9703.629636427828,18.91291721355879,5.568703850705491,0.3070342829392293,1.0472593456305854,Non-Multiplicative
L_DH_validated,27,4944.6849142275105,18.88488400744817,3.787911501595584,0.14206211429623875,1.0472593456305854,Non-Multiplicative
L_DH_validated,28,5252.4882196542285,18.881847040957137,4.900483404696404,0.2377696792049986,1.0472593456305854,Non-Multiplicative
L_DH_validated,29,4309.431283878753,18.703967050280294,4.838305408320966,0.2317742497444347,1.0472593456305854,Non-Multiplicative
L_DH_validated,30,2988.714973359857,18.702130743241156,5.421057029645233,0.29096890414520793,1.0472593456305854,Non-Multiplicative
L_DH_validated,31,2090.4095819903937,18.68946899888441,6.042153231277918,0.36146154128952657,1.0472593456305854,Non-Multiplicative
L_DH_validated,32,6059.107520045521,18.649694574439,5.1443846381700915,0.26202666639049926,1.0472593456305854,Non-Multiplicative
L_DH_validated,33,9840.067271812011,18.5930495013138,5.614121454346159,0.3120629673678201,1.0472593456305854,Non-Multiplicative
L_DH_validated,34,3611.9620917948073,18.469359589999343,4.35936777797255,0.188159281422033,1.0472593456305854,Non-Multiplicative
L_DH_validated,35,2633.9771213609806,18.303099318116335,5.215093807537769,0.26927924179622553,1.0472593456305854,Non-Multiplicative
L_DH_validated,36,4293.05876763265,18.063518778698388,4.5321384897705235,0.203369101885737,1.0472593456305854,Non-Multiplicative
L_DH_validated,37,1255.4112534391913,17.983589071942852,5.030694066784856,0.25057309696618174,1.0472593456305854,Non-Multiplicative
L_DH_validated,38,9513.708447973044,17.682135482921804,4.049521197141489,0.16236259332770528,1.0472593456305854,Non-Multiplicative
L_DH_validated,39,5951.0489128212475,17.658684525685103,4.7978714373006435,0.22791653790955793,1.0472593456305854,Non-Multiplicative
