n,a_zeta_W1,a_delta_W1,a_zeta_W2,a_delta_W2
232,2746.904739866295,2746.904739866295,2745.0833741731794,2745.083374042449
233,2747.9433636544986,2747.9433636544986,2745.0347132875936,2745.034713382508
234,2748.783077690902,2748.783077690902,2745.5607459248013,2745.5607459533253
235,2749.3229260945614,2749.3229260945614,2746.5825637718053,2746.582563649384
236,2749.504325695016,2749.504325695016,2747.8914593553327,2747.891459454379
237,2749.3295090895695,2749.3295090895695,2749.1901602612884,2749.1901602776816
238,2748.871692450706,2748.871692450706,2750.1594610626908,2750.1594609485583
239,2748.2673763001303,2748.2673763001303,2750.5334824774927,2750.533482578226
240,2747.6865150619315,2747.6865150619315,2750.1643843681913,2750.164384373419
241,2747.2867539301456,2747.2867539301456,2749.061361567779,2749.0613614614554
242,2747.1669878707144,2747.1669878707144,2747.396462573461,2747.396462674037
243,2747.3366432403136,2747.3366432403136,2745.4768963657707,2745.476896359203
244,2747.7098179907193,2747.7098179907193,2743.6875298334026,2743.687529735005
245,2748.123682219499,2748.123682219499,2742.4102230855733,2742.410223184615
246,2748.374864010735,2748.374864010735,2741.932994293811,2741.932994273567
247,2748.2672320627385,2748.2672320627385,2742.372012449887,2742.3720123588287
248,2747.66546785062,2747.66546785062,2743.6349590942327,2743.6349591881435
249,2746.546349955622,2746.546349955622,2745.445075892979,2745.4450758563053
250,2745.0333127720246,2745.0333127720246,2747.4213046593427,2747.4213045692827
251,2743.395130473296,2743.395130473296,2749.1854134857367,2749.185413563642
252,2741.9948645427453,2741.9948645427453,2750.45795414342,2750.457954079461
253,2741.1942322983346,2741.1942322983346,2751.115050268748,2751.115050157938
254,2741.2434164398715,2741.2434164398715,2751.197676105248,2751.197676136341
255,2742.199525397391,2742.199525397391,2750.8813864240965,2750.881386292444
256,2743.905738688256,2743.905738688256,2750.4208983800627,2750.420898187469
257,2746.0342470543533,2746.0342470543533,2750.082602716643,2750.0826026157306
258,2748.1709423837415,2748.1709423837415,2750.0757703023173,2750.075769985713
259,2749.9134444192086,2749.9134444192086,2750.494882514805,2750.4948820758946
260,2750.9618316665837,2750.9618316665837,2751.2893420506953,2751.2893415856443
261,2751.1886962139843,2751.1886962139843,2752.275125690635,2752.2751248581703
262,2750.675015192181,2750.675015192181,2753.1899957587043,2753.189994589004
263,2749.6972437466497,2749.6972437466497,2753.7743235467096,2753.7743220001607
264,2748.6590825072535,2748.6590825072535,2753.847049606653,2753.8470471897062
265,2747.9801943948396,2747.9801943948396,2753.3510416370596,2753.351038142147
266,2747.9740108586593,2747.9740108586593,2752.3601737038753,2752.3601687288356
267,2748.7543643102986,2748.7543643102986,2751.0572745496393,2751.0572671553928
268,2750.2002049519797,2750.2002049519797,2749.696363955145,2749.696353339362
269,2751.9858456162174,2751.9858456162174,2748.555664901434,2748.555649885742
270,2753.664433312246,2753.664433312246,2747.881037581144,2747.881016281768
271,2754.7827353115817,2754.7827353115817,2747.823384209124,2747.8233545424073
272,2755.0029214646656,2755.0029214646656,2748.3876686955196,2748.3876275871385
273,2754.2049001447663,2754.2049001447663,2749.420977363426,2749.420920002274
274,2752.540437828203,2752.540437828203,2750.655974844559,2750.655894393162
275,2750.4145020556352,2750.4145020556352,2751.795897379793,2751.795783158609
276,2748.3856498826417,2748.3856498826417,2752.6020089257104,2752.6018444348774
277,2747.004259572925,2747.004259572925,2752.9467039693086,2752.9464649836586
278,2746.63635280969,2746.63635280969,2752.8211473461856,2752.8207983295165
279,2747.337383289638,2747.337383289638,2752.311352876204,2752.310843145904
280,2748.829564995044,2748.829564995044,2751.563324356176,2751.5625840873277
281,2750.596109667227,2750.596109667227,2750.748701890491,2750.74763584875
282,2752.0564610110328,2752.0564610110328,2750.031250604523,2750.029729286221
283,2752.756604928159,2752.756604928159,2749.5326068600993,2749.5304516924284
284,2752.5102080987062,2752.5102080987062,2749.3030786716376,2749.3000349278304
285,2751.4508778037866,2751.4508778037866,2749.310052663892,2749.305746067194
286,2749.9863153716196,2749.9863153716196,2749.4525847313976,2749.446457632049
287,2748.669529817155,2748.669529817155,2749.597503726826,2749.5887285799154
288,2748.0192115364985,2748.0192115364985,2749.622194945582,2749.609570006652
289,2748.336709094414,2748.336709094414,2749.450754573913,2749.43259116245
290,2749.580405122895,2749.580405122895,2749.078365035029,2749.052377376112
291,2751.354316523539,2751.354316523539,2748.5822646227903,2748.545461495523
292,2753.0311215888546,2753.0311215888546,2748.113192487081,2748.061718766643
293,2753.9706605938995,2753.9706605938995,2747.857978729017,2747.786763998317
294,2753.749131149048,2753.749131149048,2747.974519869443,2747.876497998954
295,2752.3124065100274,2752.3124065100274,2748.522922836033,2748.3875507433536
296,2750.005985366404,2750.005985366404,2749.4288810702947,2749.2397421863466
297,2747.4811413341563,2747.4811413341563,2750.497947370415,2750.2293345638427
298,2745.504242029407,2745.504242029407,2751.465411135928,2751.077915329696
299,2744.71113264184,2744.71113264184,2752.050300274498,2751.485715013976
300,2745.3754281905553,2745.3754281905553,2751.99642662429,2751.17294561192
301,2747.288938246255,2747.288938246255,2751.1064815683276,2749.9162645071924
302,2749.8324154651655,2749.8324154651655,2749.2791845348215,2747.591450921422
