case	lambda	strength	beta	N	S_N	radius	shellMass	ratio
plant-lam7-b0.40-s10.0	7	10.0	0.40	18	460.689781299620342250046	0.00217065808835387794429844	0.00210390964150912174037353	1.12680525307462220605896
zeta-lam8	8			6	4625594.33590395975347985	0.000000216188434908348778854827	0.00222127101795778943039645	
zeta-lam8	8			7	196318995.908589844176505	5.09375058369603996233597e-9	0.000171925364180609437997807	42.4418964682565657603959
zeta-lam8	8			8	15353604629.2214442829826	6.51312850727424478658127e-11	0.00000923423892424299923639922	78.2074325419349530403891
zeta-lam8	8			9	7122931800917.80878258619	1.4039162917032946036994e-13	0.000000331054481882763978701686	463.925701679280560574127
zeta-lam8	8			10	89619465191718.0105867173	1.11582901980139560271588e-14	6.23255960055423282871388e-9	12.5818227236389239596565
zeta-lam8	8			11	755838648342550.197484231	1.32303369534339364237145e-15	1.99594228419011846345611e-11	8.43386698108079531961519
zeta-lam8	8			12	25494009764712594.3883988	3.92249006425087739256679e-17	2.25816189959518488103584e-12	33.7294339481282652384774
zeta-lam8	8			13	2901467250420693750.36887	3.44653209459802294420414e-19	3.51693423646444789945723e-13	113.809764615244835942123
zeta-lam8	8			14	16206034103837512804610.4	6.17054113049906944230944e-23	1.23463244200885314002722e-14	5585.46166650260966708752
zeta-lam8	8			15	7931675603991885101534.63	1.26076764851138899420074e-22	1.44165302954828311057588e-16	0.489427305482079761255173
zeta-lam8	8			16	682986620168736771145356.0	1.46415752588673374982617e-24	4.37561335793244237439083e-20	86.1087435074879462828696
zeta-lam8	8			17	3.05039249284324140143046e+25	3.27826665698324497118606e-26	8.94270976100044145971805e-20	44.6625512530482651691643
zeta-lam8	8			18	9.95926782910478627072841e+25	1.00408987604251175585222e-26	1.9449971831106500853499e-21	3.26491356521201271709979
plant-lam8-b0.10-s5.0	8	5.0	0.10	6	15.533254317651802001503	0.064378009884484548499813	0.659908202606301376436593	
plant-lam8-b0.10-s5.0	8	5.0	0.10	7	10.8158480432674053693034	0.0924569202525432080994345	0.65735564924409437628095	0.696302772238551885463622
plant-lam8-b0.10-s5.0	8	5.0	0.10	8	7.27019232159389898514282	0.137547943130720711530704	0.740920293091978451507202	0.672179591698259083352629
plant-lam8-b0.10-s5.0	8	5.0	0.10	9	12.0814276477580613094346	0.0827716747685501406902445	0.877362073851146002247616	1.66177552303174271320227
plant-lam8-b0.10-s5.0	8	5.0	0.10	10	0.583016173136214902199928	1.71521828394692184499767	0.834850936933646143758922	0.0482572250676354993673602
plant-lam8-b0.10-s5.0	8	5.0	0.10	11	14.625527096468915562284	0.0683736041377567150739743	0.954807646176412037967219	25.0859714882246198158645
plant-lam8-b0.10-s5.0	8	5.0	0.10	12	107.358637243005588925151	0.00931457426882670272925228	0.652307171042724198063935	7.34049696362228910836998
plant-lam8-b0.10-s5.0	8	5.0	0.10	13	19870.4489899541313427973	0.0000503259891362076557457836	0.0388709519164588711621806	185.084772871860296717376
plant-lam8-b0.10-s5.0	8	5.0	0.10	14	810.761825302827284928379	0.00123340785023578342444003	0.00641165760832966593809502	0.0408023908122419752028762
plant-lam8-b0.10-s5.0	8	5.0	0.10	15	96.767017639753886442671	0.0103340996177315211304957	0.00225443236488041553121898	0.119353199200776974398349
plant-lam8-b0.10-s5.0	8	5.0	0.10	16	67.3319169599360618564676	0.0148517975597668116111229	0.00404877729856789379631899	0.695814737316805781188386
plant-lam8-b0.10-s5.0	8	5.0	0.10	17	93.7983804583768364627018	0.0106611648848644184160601	0.00553713532658079567822187	1.3930745580018000881189
plant-lam8-b0.10-s5.0	8	5.0	0.10	18	1625.59362645944928744289	0.000615159892191509630014484	0.00508644806445790106147457	17.3307216874688870610065
plant-lam8-b0.20-s5.0	8	5.0	0.20	6	7.17955921567644875441848	0.139284316760911525877992	0.678024737946055477290105	
plant-lam8-b0.20-s5.0	8	5.0	0.20	7	4.91628801756816373862451	0.203405495452369541930157	0.729955292349714909793031	0.684761817526837886813799
plant-lam8-b0.20-s5.0	8	5.0	0.20	8	3.85617328066525172151743	0.259324446080774660057084	0.822069842733563173798856	0.784366836703904796292707
